,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,release_year,genres,director,roi_domestic,roi_foreign,roi_worldwide
701,2016-05-13,Money Monster 2016,27000000,41012075,93466095,52454020,66466095,2016,"Crime,Drama,Thriller",Jodie Foster,51.896574074074074,94.27414814814816,246.1707222222222
702,2013-04-26,Pain & Gain 2013,26000000,49875291,81275291,31400000,55275291,2013,"Action,Comedy,Crime",Michael Bay,91.8280423076923,20.76923076923077,212.5972730769231
704,2012-08-29,Lawless 2012,26000000,37397291,54393687,16996396,28393687,2012,"Crime,Drama",John Hillcoat,43.83573461538462,-34.629246153846154,109.20648846153847
705,2014-10-17,The Best of Me 2014,26000000,26766213,41059418,14293205,15059418,2014,"Drama,Romance",Michael Hoffman,2.946973076923077,-45.02613461538461,57.92083846153846
706,2012-04-27,The Raven 2012,26000000,16008272,30601801,14593529,4601801,2012,"Crime,Mystery,Thriller",James McTeigue,-38.429723076923075,-43.871042307692306,17.699234615384615
707,2013-10-18,The Fifth Estate 2013,26000000,3254172,6154172,2900000,-19845828,2013,"Biography,Drama,Thriller",Bill Condon,-87.48395384615385,-88.84615384615384,-76.33010769230769
708,2014-03-21,Blood Ties 2014,26000000,42472,2923959,2881487,-23076041,2014,Documentary,Stefania Müller,-99.83664615384615,-88.9173576923077,-88.75400384615385
709,2015-03-17,Accidental Love 2015,26000000,0,135436,135436,-25864564,2015,"Comedy,Romance",David O. Russell,-100.0,-99.47909230769231,-99.47909230769231
710,2011-08-10,The Help 2011,25000000,169705587,213120004,43414417,188120004,2011,Drama,Tate Taylor,578.822348,73.657668,752.480016
711,2016-12-25,Hidden Figures 2016,25000000,169607287,231771716,62164429,206771716,2016,"Biography,Drama,History",Theodore Melfi,578.429148,148.657716,827.086864
712,2014-01-17,Ride Along 2014,25000000,134202565,153733800,19531235,128733800,2014,"Action,Comedy,Crime",Tim Story,436.81026,-21.875059999999998,514.9352
714,2012-12-25,Parental Guidance 2012,25000000,77267296,120832383,43565087,95832383,2012,"Comedy,Family",Andy Fickman,209.06918399999998,74.260348,383.329532
715,2011-01-21,No Strings Attached 2011,25000000,70662220,149228078,78565858,124228078,2011,"Comedy,Romance",Ivan Reitman,182.64888,214.263432,496.912312
716,2012-01-13,Contraband 2012,25000000,66528000,98406855,31878855,73406855,2012,"Action,Crime,Drama",Baltasar Kormákur,166.112,27.515420000000002,293.62742000000003
717,2012-04-20,The Lucky One 2012,25000000,60457138,96633833,36176695,71633833,2012,"Drama,Romance",Scott Hicks,141.828552,44.70678,286.535332
718,2011-04-22,Madea's Big Happy Family 2011,25000000,53345287,54160818,815531,29160818,2011,"Comedy,Drama",Tyler Perry,113.38114800000001,-96.737876,116.643272
719,2014-08-15,The Giver 2014,25000000,45090374,66540205,21449831,41540205,2014,"Drama,Romance,Sci-Fi",Phillip Noyce,80.361496,-14.200676000000001,166.16082
720,2015-11-20,The Night Before 2015,25000000,43035725,52427346,9391621,27427346,2015,"Adventure,Comedy,Fantasy",Jonathan Levine,72.1429,-62.433516,109.70938400000001
721,2013-12-25,August: Osage County 2013,25000000,37738810,50738810,13000000,25738810,2013,"Comedy,Drama",John Wells,50.95524,-48.0,102.95524
722,2014-05-16,Million Dollar Arm 2014,25000000,36447959,39217912,2769953,14217912,2014,"Biography,Drama,Sport",Craig Gillespie,45.791836,-88.920188,56.87164799999999
723,2018-09-07,Peppermint 2018,25000000,35418723,51800758,16382035,26800758,2018,"Action,Crime,Drama",Pierre Morel,41.674892,-34.47186,107.20303200000001
724,2014-12-10,The Gambler 2014,25000000,33680992,38718031,5037039,13718031,2014,"Crime,Drama,Thriller",Rupert Wyatt,34.723968,-79.851844,54.872124
725,2017-02-17,Fist Fight 2017,25000000,32187017,40286416,8099399,15286416,2017,Comedy,Richie Keen,28.748068,-67.602404,61.145664
726,2011-12-09,The Sitter 2011,25000000,30542576,38749404,8206828,13749404,2011,Comedy,David Gordon Green,22.170303999999998,-67.17268800000001,54.99761600000001
727,2014-04-11,Draft Day 2014,25000000,28842237,29847480,1005243,4847480,2014,"Drama,Sport",Ivan Reitman,15.368948,-95.979028,19.38992
728,2017-02-03,Rings 2017,25000000,27793018,82917283,55124265,57917283,2017,"Drama,Horror,Mystery",F. Javier Gutiérrez,11.172072,120.49706,231.669132
730,2011-02-11,The Eagle 2011,25000000,19490041,38993548,19503507,13993548,2011,"Action,Adventure,Drama",Kevin Macdonald,-22.039835999999998,-21.985972,55.974192
731,2011-09-02,Shark Night 3D 2011,25000000,18877153,18877153,0,-6122847,2011,"Horror,Thriller",David R. Ellis,-24.491388,-100.0,-24.491388
732,2017-12-22,Father Figures 2017,25000000,17501244,21038441,3537197,-3961559,2017,"Adventure,Comedy,Drama",Lawrence Sher,-29.995023999999997,-85.851212,-15.846236
733,2013-10-25,The Counselor 2013,25000000,16973715,71009334,54035619,46009334,2013,"Crime,Drama,Thriller",Ridley Scott,-32.10514,116.142476,184.037336
734,2018-12-07,Mary Queen of Scots 2018,25000000,16468499,46734733,30266234,21734733,2018,"Biography,Drama,History",Josie Rourke,-34.126004,21.064936,86.93893200000001
736,2011-09-09,Warrior 2011,25000000,13657115,24215385,10558270,-784615,2011,"Drama,Sport",Gavin O'Connor,-45.371539999999996,-57.76692,-3.13846
737,2017-09-22,Battle of the Sexes 2017,25000000,12638526,18445379,5806853,-6554621,2017,"Biography,Comedy,Drama","Valerie Faris, Jonathan Dayton",-49.445896,-76.772588,-26.218483999999997
738,2012-12-21,Cirque du Soleil: Worlds Away 2012,25000000,12512862,28012862,15500000,3012862,2012,Fantasy,Andrew Adamson,-49.948552,-38.0,12.051447999999999
739,2015-11-13,The 33 2015,25000000,12227722,28400715,16172993,3400715,2015,"Biography,Drama,History",Patricia Riggen,-51.089112,-35.308028,13.60286
740,2011-09-16,Straw Dogs 2011,25000000,10324441,11253821,929380,-13746179,2011,"Action,Drama,Thriller",Rod Lurie,-58.702236,-96.28248,-54.984716
741,2019-01-25,Serenity 2019,25000000,8547045,11367029,2819984,-13632971,2019,"Drama,Mystery,Sci-Fi",Steven Knight,-65.81182,-88.720064,-54.531884
742,2018-10-12,Beautiful Boy 2018,25000000,7634767,13031424,5396657,-11968576,2018,"Biography,Drama",Felix van Groeningen,-69.460932,-78.41337200000001,-47.874304
743,2019-03-15,Captive State 2019,25000000,5958315,8993300,3034985,-16006700,2019,"Sci-Fi,Thriller",Rupert Wyatt,-76.16674,-87.86005999999999,-64.0268
744,2018-04-13,Sgt. Stubby: An American Hero 2018,25000000,3054285,3645957,591672,-21354043,2018,"Adventure,Animation,Family",Richard Lanni,-87.78286,-97.633312,-85.416172
745,2011-12-16,Carnage 2011,25000000,2546747,38112154,35565407,13112154,2011,"Comedy,Drama",Roman Polanski,-89.813012,42.261628,52.448616
746,2017-09-01,Tulip Fever 2017,25000000,2455635,6792768,4337133,-18207232,2017,"Drama,History,Romance",Justin Chadwick,-90.17746,-82.651468,-72.828928
747,2015-11-20,Legend 2015,25000000,1872994,42425450,40552456,17425450,2015,"Biography,Crime,Drama",Brian Helgeland,-92.508024,62.209824000000005,69.7018
748,2013-03-22,On the Road 2013,25000000,720828,9313302,8592474,-15686698,2013,Documentary,Marvin Dau,-97.116688,-65.630104,-62.746792
750,2011-07-08,Ironclad 2011,25000000,0,5297411,5297411,-19702589,2011,"Action,Adventure,Drama",Jonathan English,-100.0,-78.810356,-78.810356
751,2019-05-10,The Professor and the Madman 2019,25000000,0,5227233,5227233,-19772767,2019,"Biography,Drama,Mystery",Farhad Safinia,-100.0,-79.09106799999999,-79.09106799999999
752,2012-11-09,Dangerous Liaisons 2012,24200000,17000,10447579,10430579,-13752421,2012,"Drama,Mystery,Romance",Jin-ho Hur,-99.92975206611571,-56.89843388429752,-56.82818595041322
753,2014-06-20,Think Like a Man Too 2014,24000000,65028687,70027933,4999246,46027933,2014,"Comedy,Romance",Tim Story,170.95286249999998,-79.16980833333334,191.7830541666667
754,2016-12-16,Fences 2016,24000000,57682904,64282881,6599977,40282881,2016,Drama,Denzel Washington,140.34543333333335,-72.50009583333333,167.8453375
755,2011-10-14,Footloose 2011,24000000,51802742,62989834,11187092,38989834,2011,"Comedy,Drama,Music",Craig Brewer,115.84475833333335,-53.38711666666667,162.4576416666667
756,2017-04-07,Going in Style 2017,24000000,45018541,78672579,33654038,54672579,2017,"Comedy,Crime",Zach Braff,87.57725416666666,40.22515833333333,227.8024125
759,2011-09-16,I Don't Know How She Does It 2011,24000000,9659074,24474463,14815389,474463,2011,"Comedy,Romance",Douglas McGrath,-59.75385833333333,-38.2692125,1.9769291666666668
760,2013-12-20,Dhoom 3 2013,24000000,8031955,11723620,3691665,-12276380,2013,"Action,Thriller",Vijay Krishna Acharya,-66.53352083333334,-84.61806250000001,-51.15158333333333
761,2018-11-16,Green Book 2018,23000000,85080171,322034439,236954268,299034439,2018,"Biography,Comedy,Drama",Peter Farrelly,269.91378695652173,930.235947826087,1300.1497347826087
762,2015-01-16,The Wedding Ringer 2015,23000000,64460211,80171596,15711385,57171596,2015,Comedy,Jeremy Garelick,180.26178695652172,-31.689630434782607,248.57215652173915
763,2011-10-07,The Ides of March 2011,23000000,40962534,77735925,36773391,54735925,2011,"Drama,Thriller",George Clooney,78.09797391304349,59.88430869565218,237.98228260869564
764,2018-10-05,The Hate U Give 2018,23000000,29719483,35067665,5348182,12067665,2018,"Crime,Drama",George Tillman Jr.,29.21514347826087,-76.7470347826087,52.46810869565217
765,2013-06-28,Redemption 2013,23000000,36686,13593473,13556787,-9406527,2013,"Action,Crime,Drama",Steven Knight,-99.84049565217391,-41.05744782608696,-40.89794347826087
769,2016-11-18,Nocturnal Animals 2016,22500000,10663357,32398681,21735324,9898681,2016,"Drama,Thriller",Tom Ford,-52.607302222222216,-3.39856,43.99413777777777
770,2014-02-28,Son of God 2014,22000000,59700064,70949793,11249729,48949793,2014,"Biography,Drama,History",Christopher Spencer,171.36392727272727,-48.86486818181818,222.4990590909091
771,2014-08-08,The Hundred-Foot Journey 2014,22000000,54235441,94270488,40035047,72270488,2014,"Comedy,Drama",Lasse Hallström,146.5247318181818,81.97748636363636,328.5022181818182
772,2012-08-03,Diary of a Wimpy Kid: Dog Days 2012,22000000,49008662,77229695,28221033,55229695,2012,"Comedy,Family",David Bowers,122.76664545454545,28.27742272727273,251.0440681818182
773,2013-11-22,Delivery Man 2013,22000000,30659817,70536870,39877053,48536870,2013,"Comedy,Drama",Ken Scott,39.362804545454544,81.25933181818182,220.62213636363634
774,2016-02-05,"Hail, Caesar! 2016",22000000,30080225,64160680,34080455,42160680,2016,"Comedy,Drama,Music","Ethan Coen, Joel Coen",36.72829545454546,54.91115909090909,191.63945454545456
775,2017-05-19,Diary of a Wimpy Kid: The Long Haul 2017,22000000,20738724,35609577,14870853,13609577,2017,"Comedy,Family",David Bowers,-5.733072727272727,-32.40521363636364,61.86171363636363
776,2013-11-27,Homefront 2013,22000000,20158492,51695362,31536870,29695362,2013,"Action,Thriller",Gary Fleder,-8.37049090909091,43.34940909090909,134.9789181818182
778,2015-09-04,The Transporter Refueled 2015,22000000,16029670,69698495,53668825,47698495,2015,"Action,Adventure,Crime",Camille Delamarre,-27.137863636363633,143.94920454545453,216.81134090909092
779,2017-11-17,"Roman J. Israel, Esq. 2017",22000000,11962712,12967012,1004300,-9032988,2017,"Crime,Drama,Thriller",Dan Gilroy,-45.624036363636364,-95.435,-41.059036363636366
780,2013-12-04,Out of the Furnace 2013,22000000,11330849,15434375,4103526,-6565625,2013,"Crime,Drama,Thriller",Scott Cooper,-48.496140909090904,-81.34760909090909,-29.843750000000004
781,2017-12-08,Just Getting Started 2017,22000000,6069605,6756412,686807,-15243588,2017,"Action,Comedy",Ron Shelton,-72.41088636363637,-96.87814999999999,-69.28903636363636
782,2014-10-31,Before I Go to Sleep 2014,22000000,3242457,19563579,16321122,-2436421,2014,"Drama,Horror,Mystery",Rowan Joffe,-85.26155909090909,-25.813081818181814,-11.07464090909091
784,2012-06-22,To Rome with Love 2012,21500000,16684352,74326015,57641663,52826015,2012,"Comedy,Music,Romance",Woody Allen,-22.398362790697675,168.1007581395349,245.70239534883723
785,2012-11-16,Silver Linings Playbook 2012,21000000,132092958,236412453,104319495,215412453,2012,"Comedy,Drama,Romance",David O. Russell,529.0140857142857,396.7595,1025.7735857142857
786,2018-04-06,Blockers 2018,21000000,60311495,94045328,33733833,73045328,2018,Comedy,Kay Cannon,187.19759523809526,60.6373,347.8348952380952
787,2019-04-05,Pet Sematary 2019,21000000,54724696,109501146,54776450,88501146,2019,"Horror,Mystery,Thriller","Kevin Kölsch, Dennis Widmyer",160.59379047619046,160.84023809523808,421.4340285714286
790,2017-08-04,Kidnap 2017,21000000,30718107,34836080,4117973,13836080,2017,"Crime,Drama,Thriller",Luis Prieto,46.2767,-80.39060476190475,65.88609523809524
791,2011-12-09,Tinker Tailor Soldier Spy 2011,21000000,24149393,81452811,57303418,60452811,2011,"Drama,Mystery,Thriller",Tomas Alfredson,14.997109523809524,172.87341904761902,287.87052857142857
792,2011-05-06,The Beaver 2011,21000000,970816,5046038,4075222,-15953962,2011,Drama,Jodie Foster,-95.37706666666666,-80.59418095238095,-75.97124761904762
793,2017-02-24,Bitter Harvest 2017,21000000,557241,606162,48921,-20393838,2017,"Drama,Romance,War",George Mendeluk,-97.34647142857142,-99.76704285714287,-97.11351428571429
794,2019-02-01,Velvet Buzzsaw 2019,21000000,0,0,0,-21000000,2019,"Horror,Mystery,Thriller",Dan Gilroy,-100.0,-100.0,-100.0
795,2019-03-22,Us 2019,20000000,175006930,254210310,79203380,234210310,2019,"Horror,Mystery,Thriller",Jordan Peele,775.03465,296.0169,1171.05155
796,2016-12-09,La La Land 2016,20000000,151101803,426351163,275249360,406351163,2016,"Comedy,Drama,Music",Damien Chazelle,655.509015,1276.2468000000001,2031.755815
797,2013-07-19,The Conjuring 2013,20000000,137400141,318000141,180600000,298000141,2013,"Horror,Mystery,Thriller",James Wan,587.000705,802.9999999999999,1490.000705
798,2017-11-17,Wonder 2017,20000000,132422809,304604712,172181903,284604712,2017,"Drama,Family",Stephen Chbosky,562.114045,760.9095149999999,1423.02356
800,2016-07-29,Bad Moms 2016,20000000,113257297,180998716,67741419,160998716,2016,Comedy,"Jon Lucas, Scott Moore",466.286485,238.707095,804.9935800000001
801,2019-01-18,Glass 2019,20000000,111035005,245303505,134268500,225303505,2019,"Drama,Sci-Fi,Thriller",M. Night Shyamalan,455.17502500000006,571.3425,1126.517525
802,2014-07-02,Tammy 2014,20000000,84525432,96407655,11882223,76407655,2014,"Comedy,Romance",Ben Falcone,322.62716,-40.588885000000005,382.038275
803,2011-11-16,The Descendants 2011,20000000,82624961,175507800,92882839,155507800,2011,"Comedy,Drama",Alexander Payne,313.124805,364.414195,777.539
806,2013-10-18,12 Years a Slave 2013,20000000,56671993,181025343,124353350,161025343,2013,"Biography,Drama,History",Steve McQueen,183.359965,521.76675,805.1267149999999
807,2016-06-03,Me Before You 2016,20000000,56245075,208265198,152020123,188265198,2016,"Drama,Romance",Thea Sharrock,181.22537499999999,660.100615,941.32599
808,2019-02-08,What Men Want 2019,20000000,54611903,69911903,15300000,49911903,2019,"Comedy,Fantasy,Romance",Adam Shankman,173.059515,-23.5,249.55951500000003
809,2016-04-15,Barbershop: The Next Cut 2016,20000000,54030051,54404202,374151,34404202,2016,"Comedy,Drama",Malcolm D. Lee,170.15025500000002,-98.129245,172.02101000000002
810,2018-09-14,A Simple Favor 2018,20000000,53548586,97628717,44080131,77628717,2018,"Comedy,Crime,Drama",Paul Feig,167.74293,120.40065499999999,388.143585
811,2015-11-06,Spotlight 2015,20000000,45055776,92088460,47032684,72088460,2015,"Crime,Drama",Tom McCarthy,125.27888,135.16342,360.4423
813,2018-03-30,Acrimony 2018,20000000,43549096,46627836,3078740,26627836,2018,"Drama,Romance,Thriller",Tyler Perry,117.74548,-84.6063,133.13918
814,2015-06-26,Max 2015,20000000,42656255,43658157,1001902,23658157,2015,"Adventure,Drama,Family",Boaz Yakin,113.28127500000001,-94.99049000000001,118.29078500000001
815,2017-11-17,The Star 2017,20000000,40847995,62758010,21910015,42758010,2017,"Adventure,Animation,Comedy",Timothy Reckart,104.239975,9.550075,213.79005
816,2016-07-27,Nerve 2016,20000000,38583626,70652284,32068658,50652284,2016,"Action,Adventure,Crime","Henry Joost, Ariel Schulman",92.91813,60.34329,253.26142
817,2016-02-19,Risen 2016,20000000,36880033,46255763,9375730,26255763,2016,"Action,Adventure,Drama",Kevin Reynolds,84.400165,-53.12135,131.278815
820,2011-11-04,A Very Harold & Kumar 3D Christmas 2011,20000000,35061031,36265745,1204714,16265745,2011,"Adventure,Comedy",Todd Strauss-Schulson,75.305155,-93.97643,81.328725
821,2013-01-04,Texas Chainsaw 3D 2013,20000000,34341945,47666013,13324068,27666013,2013,"Horror,Thriller",John Luessenhop,71.709725,-33.37966,138.330065
823,2013-08-23,The World's End 2013,20000000,26004851,47508505,21503654,27508505,2013,"Action,Comedy,Sci-Fi",Edgar Wright,30.024255,7.51827,137.54252499999998
825,2018-12-25,On the Basis of Sex 2018,20000000,24622687,38073377,13450690,18073377,2018,"Biography,Drama",Mimi Leder,23.113435,-32.74655,90.366885
826,2014-02-14,Endless Love 2014,20000000,23438250,34718173,11279923,14718173,2014,"Drama,Romance",Shana Feste,17.19125,-43.600385,73.59086500000001
827,2011-07-01,Monte Carlo 2011,20000000,23186769,39686769,16500000,19686769,2011,"Adventure,Comedy,Family",Thomas Bezucha,15.933845,-17.5,98.43384499999999
828,2017-06-16,Rough Night 2017,20000000,22105643,46844357,24738714,26844357,2017,"Comedy,Crime,Thriller",Lucia Aniello,10.528215000000001,23.69357,134.22178499999998
829,2015-11-20,Secret in Their Eyes 2015,20000000,20180155,32608019,12427864,12608019,2015,"Crime,Drama,Mystery",Billy Ray,0.900775,-37.86068,63.040094999999994
830,2017-09-29,Flatliners 2017,20000000,16883115,45173738,28290623,25173738,2017,"Drama,Horror,Mystery",Niels Arden Oplev,-15.584425,41.453115000000004,125.86869
831,2012-04-13,Lockout 2012,20000000,14326865,33943049,19616184,13943049,2012,"Action,Sci-Fi,Thriller","James Mather, Steve Saint Leger",-28.365675000000003,-1.9190800000000001,69.71524500000001
832,2011-09-30,What's Your Number? 2011,20000000,14011084,30163785,16152701,10163785,2011,"Comedy,Romance",Mark Mylod,-29.94458,-19.236495,50.81892500000001
833,2015-10-30,Burnt 2015,20000000,13651946,36773510,23121564,16773510,2015,"Comedy,Drama",John Wells,-31.74027,15.60782,83.86755000000001
834,2016-02-26,Triple 9 2016,20000000,12639297,25943792,13304495,5943792,2016,"Crime,Thriller",John Hillcoat,-36.803515,-33.477525,29.71896
835,2016-09-02,The Light Between Oceans 2016,20000000,12545979,22281732,9735753,2281732,2016,"Drama,Romance",Derek Cianfrance,-37.270105,-51.321235,11.40866
837,2016-06-03,Popstar: Never Stop Never Stopping 2016,20000000,9496130,9537120,40990,-10462880,2016,"Comedy,Music","Akiva Schaffer, Jorma Taccone",-52.519349999999996,-99.79505,-52.314400000000006
838,2017-10-27,Thank You for Your Service 2017,20000000,9479390,9985316,505926,-10014684,2017,"Biography,Drama,War",Jason Hall,-52.603049999999996,-97.47036999999999,-50.07342
839,2013-09-20,Battle of the Year 2013,20000000,8888355,16723377,7835022,-3276623,2013,"Drama,Music",Benson Lee,-55.55822500000001,-60.824889999999996,-16.383115
840,2014-12-12,Inherent Vice 2014,20000000,8110975,14772346,6661371,-5227654,2014,"Comedy,Crime,Drama",Paul Thomas Anderson,-59.445125,-66.693145,-26.138270000000002
841,2013-10-11,Machete Kills 2013,20000000,8008161,18273009,10264848,-1726991,2013,"Action,Crime,Sci-Fi",Robert Rodriguez,-59.959195,-48.675760000000004,-8.634955
842,2015-04-24,Little Boy 2015,20000000,6485961,17769299,11283338,-2230701,2015,"Drama,History,War",Alejandro Monteverde,-67.570195,-43.58331,-11.153505
843,2012-10-26,Chasing Mavericks 2012,20000000,6002756,8300821,2298065,-11699179,2012,"Biography,Drama,Sport","Michael Apted, Curtis Hanson",-69.98622,-88.509675,-58.495895
844,2014-12-31,A Most Violent Year 2014,20000000,5749134,8846875,3097741,-11153125,2014,"Crime,Drama,Thriller",J.C. Chandor,-71.25433,-84.511295,-55.765625
845,2011-11-23,A Dangerous Method 2011,20000000,5702083,14807531,9105448,-5192469,2011,"Biography,Drama,Romance",David Cronenberg,-71.489585,-54.47276,-25.962345
846,2016-08-26,Hands of Stone 2016,20000000,4712792,5031975,319183,-14968025,2016,"Action,Biography,Drama",Jonathan Jakubowicz,-76.43604,-98.404085,-74.840125
847,2012-09-07,The Cold Light of Day 2012,20000000,3763583,25361206,21597623,5361206,2012,"Action,Thriller",Mabrouk El Mechri,-81.182085,7.988115,26.806029999999996
848,2018-10-26,Suspiria 2018,20000000,2483472,7034615,4551143,-12965385,2018,"Fantasy,Horror,Mystery",Luca Guadagnino,-87.58264,-77.244285,-64.826925
849,2015-11-13,My All-American 2015,20000000,2246000,2246000,0,-17754000,2015,"Biography,Drama,Sport",Angelo Pizzo,-88.77000000000001,-100.0,-88.77000000000001
852,2015-11-13,By the Sea 2015,20000000,538460,3727746,3189286,-16272254,2015,"Drama,Romance",Angelina Jolie,-97.3077,-84.05357,-81.36126999999999
855,2015-10-30,Regression 2015,20000000,55039,15824374,15769335,-4175626,2015,"Crime,Horror,Mystery",Alejandro Amenábar,-99.724805,-21.153325000000002,-20.87813
856,2012-12-31,Zambezia 2012,20000000,0,34454336,34454336,14454336,2012,"Adventure,Animation,Comedy",Wayne Thornley,-100.0,72.27168,72.27168
857,2015-05-29,Survivor 2015,20000000,0,1703281,1703281,-18296719,2015,"Action,Crime,Thriller",James McTeigue,-100.0,-91.483595,-91.483595
858,2016-11-18,The History of Love 2016,20000000,0,476624,476624,-19523376,2016,"Drama,Romance,War",Radu Mihaileanu,-100.0,-97.61688,-97.61688
859,2014-08-29,Dwegons and Leprechauns 2014,20000000,0,0,0,-20000000,2014,Animation,Tom Walsh,-100.0,-100.0,-100.0
860,2016-07-22,Fight Valley 2016,20000000,0,0,0,-20000000,2016,"Action,Drama",Rob Hawk,-100.0,-100.0,-100.0
861,2018-12-13,Bird Box 2018,19800000,0,0,0,-19800000,2018,"Drama,Horror,Sci-Fi",Susanne Bier,-100.0,-100.0,-100.0
862,2017-12-01,The Shape of Water 2017,19500000,63859435,195790794,131931359,176290794,2017,"Adventure,Drama,Fantasy",Guillermo del Toro,227.48428205128204,576.5710717948717,904.0553538461538
863,2013-08-23,The Frozen Ground 2013,19200000,0,5617460,5617460,-13582540,2013,"Crime,Drama,Mystery",Scott Walker,-100.0,-70.74239583333333,-70.74239583333333
864,2011-07-29,The Devil's Double 2011,19100000,1361512,5965646,4604134,-13134354,2011,"Biography,Drama,Thriller",Lee Tamahori,-92.87166492146596,-75.89458638743456,-68.76625130890052
865,2011-06-24,Bad Teacher 2011,19000000,100292856,215448997,115156141,196448997,2011,"Comedy,Romance",Jake Kasdan,427.8571368421052,506.0849526315789,1033.942089473684
866,2016-08-12,Sausage Party 2016,19000000,97670358,141344255,43673897,122344255,2016,"Adventure,Animation,Comedy","Conrad Vernon, Greg Tiernan",414.05451578947367,129.8626157894737,643.9171315789474
871,2013-11-08,The Book Thief 2013,19000000,21488481,76086711,54598230,57086711,2013,"Drama,War",Brian Percival,13.097268421052632,187.3591052631579,300.4563736842105
872,2011-03-04,Take Me Home Tonight 2011,19000000,6928068,7576604,648536,-11423396,2011,"Comedy,Drama,Romance",Michael Dowse,-63.53648421052631,-96.58665263157896,-60.12313684210526
873,2012-09-28,Won't Back Down 2012,19000000,5310554,5745503,434949,-13254497,2012,Drama,Daniel Barnz,-72.0497157894737,-97.7107947368421,-69.76051052631578
874,2018-06-01,Action Point 2018,19000000,5059608,5103675,44067,-13896325,2018,Comedy,Tim Kirkby,-73.37048421052631,-99.76806842105263,-73.13855263157895
875,2014-05-09,Neighbors 2014,18000000,150086800,270944428,120857628,252944428,2014,Comedy,Nicholas Stoller,733.8155555555555,571.4312666666666,1405.2468222222221
876,2016-03-25,My Big Fat Greek Wedding 2 2016,18000000,59689605,92096558,32406953,74096558,2016,"Comedy,Romance",Kirk Jones,231.60891666666666,80.03862777777778,411.6475444444444
877,2015-09-11,The Perfect Guy 2015,18000000,57027435,60278166,3250731,42278166,2015,"Crime,Drama,Horror",David M. Rosenthal,216.81908333333334,-81.94038333333333,234.8787
878,2011-03-25,Diary of a Wimpy Kid: Rodrick Rules 2011,18000000,52698535,73695194,20996659,55695194,2011,"Comedy,Family",David Bowers,192.7696388888889,16.648105555555556,309.41774444444445
879,2011-04-08,Soul Surfer 2011,18000000,43853424,47158652,3305228,29158652,2011,"Biography,Drama,Family",Sean McNamara,143.63013333333333,-81.63762222222222,161.9925111111111
880,2018-06-29,Uncle Drew 2018,18000000,42469946,46527161,4057215,28527161,2018,"Comedy,Sport",Charles Stone III,135.94414444444445,-77.45991666666666,158.4842277777778
881,2014-10-17,Birdman or (The Unexpected Virtue of Ignorance) 2014,18000000,42340598,103215094,60874496,85215094,2014,"Comedy,Drama",Alejandro G. Iñárritu,135.22554444444444,238.19164444444442,473.41718888888886
882,2013-07-26,Blue Jasmine 2013,18000000,33404871,102912961,69508090,84912961,2013,Drama,Woody Allen,85.58261666666667,286.15605555555555,471.7386722222222
883,2015-08-07,Ricki and the Flash 2015,18000000,26839498,41166033,14326535,23166033,2015,"Comedy,Drama,Music",Jonathan Demme,49.10832222222222,-20.40813888888889,128.70018333333334
884,2015-11-13,Love the Coopers 2015,18000000,26302731,42227490,15924759,24227490,2015,"Comedy,Fantasy,Romance",Jessie Nelson,46.12628333333333,-11.529116666666667,134.59716666666665
885,2017-04-28,The Circle 2017,18000000,20497844,40651864,20154020,22651864,2017,"Drama,Horror,Thriller",Peter Callow,13.876911111111113,11.966777777777777,125.84368888888888
889,2016-01-15,Norm of the North 2016,18000000,17062499,30535660,13473161,12535660,2016,"Adventure,Animation,Comedy",Trevor Wall,-5.208338888888889,-25.149105555555558,69.64255555555555
890,2013-08-16,Jobs 2013,18000000,16131410,43402515,27271105,25402515,2013,"Biography,Drama",Joshua Michael Stern,-10.381055555555555,51.506138888888884,141.12508333333332
891,2014-07-25,And So It Goes 2014,18000000,15160801,17920013,2759212,-79987,2014,"Comedy,Drama,Romance",Rob Reiner,-15.773327777777777,-84.67104444444445,-0.4443722222222222
892,2013-08-30,Getaway 2013,18000000,10501938,11813989,1312051,-6186011,2013,"Action,Crime,Thriller",Courtney Solomon,-41.6559,-92.71082777777778,-34.366727777777776
893,2016-03-18,Midnight Special 2016,18000000,3712282,7680250,3967968,-10319750,2016,"Action,Drama,Mystery",Jeff Nichols,-79.3762111111111,-77.95573333333333,-57.331944444444446
894,2016-11-25,Miss Sloane 2016,18000000,3500605,7719630,4219025,-10280370,2016,"Drama,Thriller",John Madden,-80.55219444444445,-76.56097222222222,-57.11316666666667
895,2013-09-27,Metallica Through the Never 2013,18000000,3419967,9082906,5662939,-8917094,2013,Music,Nimród Antal,-81.00018333333333,-68.53922777777778,-49.53941111111111
896,2013-03-01,Phantom 2013,18000000,1034589,1199510,164921,-16800490,2013,"Drama,History,Thriller",Todd Robinson,-94.25228333333334,-99.08377222222222,-93.33605555555555
898,2016-04-15,I Am Wrath 2016,18000000,0,309608,309608,-17690392,2016,"Action,Crime,Drama",Chuck Russell,-100.0,-98.27995555555556,-98.27995555555556
899,2014-11-14,Wolves 2014,18000000,0,94953,94953,-17905047,2014,"Action,Fantasy,Horror",David Hayter,-100.0,-99.47248333333333,-99.47248333333333
900,2014-08-22,The Prince 2014,18000000,0,0,0,-18000000,2014,"Action,Thriller",Brian A. Miller,-100.0,-100.0,-100.0
