,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,release_year,genres,director,roi_domestic,roi_foreign,roi_worldwide
50,2013-07-12,Pacific Rim 2013,190000000,101802906,411002906,309200000,221002906,2013,"Action,Adventure,Sci-Fi",Guillermo del Toro,-46.41952315789474,62.73684210526316,116.31731894736843
51,2015-11-25,The Good Dinosaur 2015,187500000,123087120,333771037,210683917,146271037,2015,"Adventure,Animation,Comedy",Peter Sohn,-34.353536,12.364755733333334,78.01121973333333
52,2012-06-22,Brave 2012,185000000,237282182,554606532,317324350,369606532,2012,"Adventure,Animation,Comedy","Brenda Chapman, Steve Purcell, Mark Andrews",28.260638918918918,71.52667567567568,199.7873145945946
53,2017-03-10,Kong: Skull Island 2017,185000000,168052812,561072059,393019247,376072059,2017,"Action,Adventure,Fantasy",Jordan Vogt-Roberts,-9.160642162162162,112.44283621621622,203.28219405405403
54,2016-07-22,Star Trek Beyond 2016,185000000,158848340,335802233,176953893,150802233,2016,"Action,Adventure,Sci-Fi",Justin Lin,-14.136032432432433,-4.349247027027027,81.51472054054054
55,2017-10-06,Blade Runner 2049 2017,185000000,92054159,259357408,167303249,74357408,2017,"Drama,Mystery,Sci-Fi",Denis Villeneuve,-50.24099513513514,-9.565811351351352,40.19319351351351
56,2019-05-24,Aladdin 2019,182000000,246734314,619234314,372500000,437234314,2019,"Adventure,Comedy,Family",Guy Ritchie,35.56830439560439,104.67032967032968,240.23863406593406
57,2017-11-03,Thor: Ragnarok 2017,180000000,315058289,846980024,531921735,666980024,2017,"Action,Adventure,Comedy",Taika Waititi,75.03238277777777,195.512075,370.5444577777778
58,2014-05-30,Maleficent 2014,180000000,241407328,758536735,517129407,578536735,2014,"Action,Adventure,Family",Robert Stromberg,34.115182222222224,187.294115,321.4092972222222
59,2016-11-18,Fantastic Beasts and Where to Find Them 2016,180000000,234037575,802402853,568365278,622402853,2016,"Adventure,Family,Fantasy",David Yates,30.020875000000004,215.7584877777778,345.7793627777778
60,2016-07-01,The Legend of Tarzan 2016,180000000,126643061,348902025,222258964,168902025,2016,"Action,Adventure,Drama",David Yates,-29.64274388888889,23.47720222222222,93.83445833333333
61,2011-11-23,Hugo 2011,180000000,73864507,180047784,106183277,47784,2011,"Adventure,Drama,Family",Martin Scorsese,-58.96416277777777,-41.00929055555555,0.026546666666666666
62,2017-07-21,Valerian and the City of a Thousand Planets 2017,180000000,40479370,215098356,174618986,35098356,2017,"Action,Adventure,Fantasy",Luc Besson,-77.51146111111112,-2.9894522222222224,19.499086666666667
63,2015-02-06,Jupiter Ascending 2015,179000000,47482519,181982519,134500000,2982519,2015,"Action,Adventure,Sci-Fi","Lilly Wachowski, Lana Wachowski",-73.47345307262569,-24.860335195530723,1.6662117318435754
64,2016-05-27,X-Men: Apocalypse 2016,178000000,155442489,542537546,387095057,364537546,2016,"Action,Adventure,Sci-Fi",Bryan Singer,-12.672758988764047,117.46913314606742,204.79637415730338
65,2018-08-10,The Meg 2018,178000000,145443742,529530715,384086973,351530715,2018,"Action,Horror,Sci-Fi",Jon Turteltaub,-18.290032584269664,115.77919831460675,197.48916573033708
66,2014-06-06,Edge of Tomorrow 2014,178000000,100206256,370541256,270335000,192541256,2014,"Action,Sci-Fi",Doug Liman,-43.70435056179775,51.87359550561798,108.16924494382023
67,2019-03-08,Captain Marvel 2019,175000000,426525952,1123061550,696535598,948061550,2019,"Action,Adventure,Sci-Fi","Ryan Fleck, Anna Boden",143.72911542857142,298.02034171428573,541.7494571428572
68,2016-04-15,The Jungle Book 2016,175000000,364001123,962854547,598853424,787854547,2016,"Adventure,Drama,Family",Jon Favreau,108.00064171428572,242.20195657142858,450.2025982857143
