,title,release_year,average_rating,runtime_minutes,genres,studio,total_gross_mil,domestic_gross,foreign_gross,total_gross
514,Snow Flower And The Secret Fan,2011,6.1,104.0,"Drama,History",FoxS,11.3,"$1,300,000","$10,000,000","$11,300,000"
515,Win Win,2011,7.2,106.0,"Comedy,Drama,Sport",FoxS,10.852,"$10,200,000","$652,000","$10,852,000"
516,Flying Monsters,2011,,,,NGE,10.8,"$5,700,000","$5,100,000","$10,800,000"
517,City Of Life And Death,2011,,,,Kino,10.723,"$123,000","$10,600,000","$10,723,000"
518,Le Havre,2011,7.2,93.0,"Comedy,Drama",Jan.,10.512,"$612,000","$9,900,000","$10,512,000"
519,Straw Dogs ,2011,,,,SGem,10.3,"$10,300,000",$0,"$10,300,000"
520,Prom,2011,5.4,104.0,"Comedy,Drama,Family",BV,10.1,"$10,100,000",$0,"$10,100,000"
521,In A Better World,2011,,,,SPC,9.6,"$1,000,000","$8,600,000","$9,600,000"
522,Trespass ,2011,,,,MNE,9.6241,"$24,100","$9,600,000","$9,624,100"
523,Saving Private Perez,2011,6.0,105.0,"Adventure,Comedy,Western",LGF,9.3,"$1,400,000","$7,900,000","$9,300,000"
524,Point Blank,2011,,,,Magn.,9.208,"$708,000","$8,500,000","$9,208,000"
525,Winter In Wartime,2011,,,,SPC,9.243,"$543,000","$8,700,000","$9,243,000"
526,Barney'S Version ,2011,,,,SPC,8.4,"$4,400,000","$4,000,000","$8,400,000"
527,Outrage ,2011,,,,Magn.,8.4447,"$44,700","$8,400,000","$8,444,700"
528,Senna,2011,,,,PDA,8.2,"$1,600,000","$6,600,000","$8,200,000"
529,Last Night,2011,,,,Trib.,7.699,"$99,000","$7,600,000","$7,699,000"
530,The Big Year,2011,6.2,100.0,Comedy,Fox,7.444,"$7,200,000","$244,000","$7,444,000"
531,The Beaver,2011,6.7,91.0,Drama,Sum.,7.271,"$971,000","$6,300,000","$7,271,000"
532,Take Me Home Tonight,2011,6.3,97.0,"Comedy,Drama,Romance",Rela.,6.9,"$6,900,000",$0,"$6,900,000"
533,Cedar Rapids,2011,6.3,87.0,Comedy,FoxS,6.9,"$6,900,000",$0,"$6,900,000"
534,The Princess Of Montpensier,2011,,,,IFC,6.752,"$352,000","$6,400,000","$6,752,000"
535,Cave Of Forgotten Dreams,2011,,,,IFC,6.5,"$5,300,000","$1,200,000","$6,500,000"
536,Sex And Zen 3D: Extreme Ecstasy,2011,,,,CL,6.353,"$153,000","$6,200,000","$6,353,000"
537,We Need To Talk About Kevin,2011,7.5,112.0,"Drama,Mystery,Thriller",Osci.,6.0,"$1,700,000","$4,300,000","$6,000,000"
538,Attack The Block,2011,6.7,88.0,"Action,Comedy,Sci-Fi",SGem,5.8,"$1,000,000","$4,800,000","$5,800,000"
539,Even The Rain,2011,,,,Vita.,5.818,"$518,000","$5,300,000","$5,818,000"
540,Young Goethe In Love,2011,,,,MBox,5.762,"$162,000","$5,600,000","$5,762,000"
541,11-11-11,2011,4.0,90.0,"Horror,Mystery,Thriller",Rocket,5.7328,"$32,800","$5,700,000","$5,732,800"
542,Certified Copy,2011,,,,IFC,5.499999,"$1,400,000","$4,099,999","$5,499,999"
543,Thank You ,2011,,,,UTV,5.464,"$464,000","$5,000,000","$5,464,000"
544,The Company Men,2011,,,,Wein.,4.841,"$4,400,000","$441,000","$4,841,000"
545,Force,2011,6.4,137.0,"Action,Thriller",FoxS,4.8,$0,"$4,800,000","$4,800,000"
546,Tucker & Dale Vs. Evil,2011,,,,Magn.,4.724,"$224,000","$4,500,000","$4,724,000"
547,London Boulevard,2011,,,,IFC,4.6161,"$16,100","$4,600,000","$4,616,100"
548,Dylan Dog: Dead Of Night,2011,,,,OMNI/FSR,4.6,"$1,200,000","$3,400,000","$4,600,000"
549,The Names Of Love,2011,,,,MBox,4.613999,"$514,000","$4,099,999","$4,613,999"
550,The Way,2011,,,,PDA,4.4,"$4,400,000",$0,"$4,400,000"
551,Burke And Hare,2011,,,,IFC,4.3048,"$4,800","$4,300,000","$4,304,800"
552,King Of Devil'S Island,2011,,,,FM,4.2076,"$7,600","$4,200,000","$4,207,600"
553,Bride Flight,2011,,,,MBox,4.201,"$501,000","$3,700,000","$4,201,000"
554,Trollhunter,2011,,,,Magn.,4.153,"$253,000","$3,900,000","$4,153,000"
555,Buck,2011,7.6,88.0,Documentary,IFC,4.0,"$4,000,000",$0,"$4,000,000"
556,Carancho,2011,,,,Strand,3.9855,"$85,500","$3,900,000","$3,985,500"
557,Like Crazy,2011,6.7,86.0,"Drama,Romance",ParV,3.736,"$3,400,000","$336,000","$3,736,000"
558,The Double,2011,5.9,98.0,"Action,Crime,Drama",Imag.,3.738,"$138,000","$3,600,000","$3,738,000"
559,Don 2,2011,7.1,148.0,"Action,Crime,Thriller",Relbig.,3.7,"$3,700,000",$0,"$3,700,000"
560,Love Crime,2011,,,,IFC,3.64,"$540,000","$3,100,000","$3,640,000"
561,Incendies ,2011,,,,SPC,3.6,"$2,100,000","$1,500,000","$3,600,000"
562,Martha Marcy May Marlene,2011,6.9,102.0,"Drama,Mystery,Thriller",FoxS,3.548,"$3,000,000","$548,000","$3,548,000"
563,Fireflies In The Garden,2011,,,,,3.3706,"$70,600","$3,300,000","$3,370,600"
564,The King'S Speech ,2011,,,,Wein.,3.3,"$3,300,000",$0,"$3,300,000"
565,Machine Gun Preacher,2011,6.8,129.0,"Action,Biography,Crime",Rela.,3.339,"$539,000","$2,800,000","$3,339,000"
566,The Last Circus,2011,,,,Magn.,3.2405,"$40,500","$3,200,000","$3,240,500"
567,From Prada To Nada,2011,5.6,107.0,"Comedy,Drama,Romance",LGF,3.123,"$3,000,000","$123,000","$3,123,000"
568,Flypaper,2011,6.4,87.0,"Comedy,Crime,Mystery",IFC,3.105,"$5,000","$3,100,000","$3,105,000"
569,Zindagi Na Milegi Dobara,2011,8.1,155.0,"Comedy,Drama",Eros,3.1,"$3,100,000",$0,"$3,100,000"
570,Take Shelter,2011,7.4,121.0,"Drama,Horror,Thriller",SPC,3.1,"$1,700,000","$1,400,000","$3,100,000"
571,The Greatest Miracle,2011,4.5,70.0,"Animation,Drama",KKM,3.055,"$555,000","$2,500,000","$3,055,000"
572,Rapt,2011,,,,Lorb.,2.9458,"$45,800","$2,900,000","$2,945,800"
573,Pastorela,2011,6.2,88.0,"Comedy,Fantasy",LGF,2.861,"$161,000","$2,700,000","$2,861,000"
574,The Double Hour,2011,,,,Gold.,2.7,"$1,500,000","$1,200,000","$2,700,000"
575,Everything Must Go,2011,,,,RAtt.,2.7,"$2,700,000",$0,"$2,700,000"
576,3 ,2011,,,,Strand,2.66,"$60,000","$2,600,000","$2,660,000"
577,Oranges And Sunshine,2011,,,,Cohen,2.543,"$143,000","$2,400,000","$2,543,000"
578,Ong Bak 3,2011,,,,Magn.,2.3149,"$14,900","$2,300,000","$2,314,900"
579,Poetry,2011,,,,Kino,2.256,"$356,000","$1,900,000","$2,256,000"
580,The Tree,2011,,,,Zeit.,2.1712,"$71,200","$2,100,000","$2,171,200"
581,"The Butcher, The Chef And The Swordsman",2011,,,,CL,2.0479,"$47,900","$2,000,000","$2,047,900"
582,The Trip ,2011,,,,IFC,2.0,"$2,000,000",$0,"$2,000,000"
583,Armadillo,2011,,,,Lorb.,2.0146,"$14,600","$2,000,000","$2,014,600"
584,Bodyguard,2011,4.7,130.0,"Action,Comedy,Romance",Relbig.,1.8,"$1,800,000",$0,"$1,800,000"
585,Brighton Rock,2011,,,,IFC,1.83,"$230,000","$1,600,000","$1,830,000"
586,A Somewhat Gentle Man,2011,,,,Strand,1.8377,"$37,700","$1,800,000","$1,837,700"
587,The Topp Twins: Untouchable Girls,2011,,,,Argo.,1.8293,"$29,300","$1,800,000","$1,829,300"
588,Another Earth,2011,7.0,92.0,"Drama,Romance,Sci-Fi",FoxS,1.756,"$1,300,000","$456,000","$1,756,000"
589,A Better Life,2011,7.2,98.0,"Drama,Romance",Sum.,1.8,"$1,800,000",$0,"$1,800,000"
590,A Better Life,2011,6.6,110.0,Drama,Sum.,1.8,"$1,800,000",$0,"$1,800,000"
591,Chalet Girl,2011,6.3,97.0,"Comedy,Romance,Sport",IFC,1.7017,"$1,700","$1,700,000","$1,701,700"
592,Yamla Pagla Deewana,2011,5.7,163.0,"Action,Comedy,Drama",Eros,1.593,"$993,000","$600,000","$1,593,000"
593,Bill Cunningham New York,2011,,,,Zeit.,1.5,"$1,500,000",$0,"$1,500,000"
594,The Art Of Getting By,2011,6.6,83.0,"Drama,Romance",FoxS,1.4,"$1,400,000",$0,"$1,400,000"
595,The Devil'S Double,2011,7.1,109.0,"Biography,Drama,Thriller",LGF,1.4,"$1,400,000",$0,"$1,400,000"
596,Uncle Boonmee Who Can Recall His Past Lives,2011,,,,Strand,1.13,"$184,000","$946,000","$1,130,000"
597,The Whistleblower,2011,,,,Gold.,1.1,"$1,100,000",$0,"$1,100,000"
598,Red State,2011,6.2,88.0,"Action,Crime,Horror",SMod,1.1,"$1,100,000",$0,"$1,100,000"
599,London River,2011,,,,Libre,1.1072,"$7,200","$1,100,000","$1,107,200"
600,Desi Boyz,2011,5.9,122.0,"Comedy,Drama",Eros,1.1,"$1,100,000",$0,"$1,100,000"
601,When We Leave ,2011,,,,Olive,1.1196,"$19,600","$1,100,000","$1,119,600"
602,There Be Dragons,2011,5.8,122.0,"Biography,Drama,War",Gold.,1.1,"$1,100,000",$0,"$1,100,000"
603,Vanishing On 7Th Street,2011,,,,Magn.,1.0227,"$22,700","$1,000,000","$1,022,700"
604,Page One: A Year Inside The New York Times,2011,,,,Magn.,1.1,"$1,100,000",$0,"$1,100,000"
605,The Time That Remains,2011,,,,IFC,1.0329,"$32,900","$1,000,000","$1,032,900"
606,Rockstar ,2011,,,,Eros,0.987,"$987,000",$0,"$987,000"
607,Meek'S Cutoff,2011,,,,Osci.,0.978,"$978,000",$0,"$978,000"
608,Texas Killing Fields,2011,5.7,105.0,"Crime,Drama,History",Anch.,0.9575,"$45,500","$912,000","$957,500"
609,Ready,2011,4.8,145.0,"Action,Comedy",Eros,0.955,"$955,000",$0,"$955,000"
610,Miral,2011,,,,Wein.,0.9,"$373,000","$527,000","$900,000"
611,Submarine,2011,,,,Wein.,0.865,"$468,000","$397,000","$865,000"
612,Higher Ground,2011,6.3,109.0,Drama,SPC,0.842,"$842,000",$0,"$842,000"
613,Mozart'S Sister,2011,,,,MBox,0.84,"$708,000","$132,000","$840,000"
614,Plastic Planet,2011,,,,FRun,0.8392,"$3,200","$836,000","$839,200"
615,Chillar Party,2011,7.5,135.0,"Comedy,Drama,Family",UTV,0.8323,"$6,300","$826,000","$832,300"
616,Mausam,2011,4.8,161.0,"Drama,Romance,War",Eros,0.728,"$728,000",$0,"$728,000"
617,The First Grader,2011,,,,NGE,0.714,"$332,000","$382,000","$714,000"
618,Hobo With A Shotgun,2011,6.1,86.0,"Action,Comedy,Horror",Magn.,0.703,"$703,000",$0,"$703,000"
619,Tabloid,2011,,,,IFC,0.697,"$697,000",$0,"$697,000"
620,Dhobi Ghat ,2011,,,,UTV,0.679,"$577,000","$102,000","$679,000"
621,Aarakshan ,2011,,,,Relbig.,0.651,"$651,000",$0,"$651,000"
622,Pom Wonderful Presents: The Greatest Movie Ever Sold,2011,,,,SPC,0.638,"$638,000",$0,"$638,000"
623,No One Killed Jessica,2011,7.2,136.0,"Biography,Crime,Drama",UTV,0.634,"$441,000","$193,000","$634,000"
624,Korkoro,2011,,,,Lorb.,0.6272,"$8,200","$619,000","$627,200"
625,Blackthorn,2011,6.6,102.0,"Action,Adventure,Western",Magn.,0.624,"$201,000","$423,000","$624,000"
626,How I Ended This Summer,2011,,,,FM,0.6227,"$8,700","$614,000","$622,700"
627,The Ledge,2011,6.5,101.0,"Drama,Romance,Thriller",IFC,0.6112,"$9,200","$602,000","$611,200"
628,Heartbeats,2011,,,,IFC,0.5887,"$68,700","$520,000","$588,700"
629,The Future,2011,6.2,91.0,"Drama,Fantasy,Romance",RAtt.,0.569,"$569,000",$0,"$569,000"
630,Dum Maaro Dum,2011,6.2,128.0,"Action,Crime,Drama",FoxS,0.564,"$564,000",$0,"$564,000"
631,Double Dhamaal,2011,3.8,138.0,"Comedy,Crime,Drama",Relbig.,0.544,"$544,000",$0,"$544,000"
632,Kaboom,2011,,,,IFC,0.54,"$119,000","$421,000","$540,000"
633,Mere Brother Ki Dulhan,2011,5.9,139.0,"Comedy,Family,Romance",Yash,0.496,"$496,000",$0,"$496,000"
634,Weekend ,2011,,,,IFC,0.485,"$485,000",$0,"$485,000"
635,Protektor,2011,,,,FM,0.472,"$3,000","$469,000","$472,000"
636,Circumstance,2011,5.9,107.0,Drama,RAtt.,0.454,"$454,000",$0,"$454,000"
637,The Other Woman,2011,,,,IFC,0.4524,"$25,400","$427,000","$452,400"
638,Project Nim,2011,7.4,93.0,Documentary,RAtt.,0.411,"$411,000",$0,"$411,000"
639,Rage ,2011,,,,Strand,0.4086,"$5,600","$403,000","$408,600"
640,The Human Resources Manager,2011,,,,FM,0.393,"$64,000","$329,000","$393,000"
641,Hesher,2011,,,,WHE,0.383,"$383,000",$0,"$383,000"
642,7 Khoon Maaf,2011,,,,UTV,0.3647,"$270,000","$94,700","$364,700"
643,Another Happy Day,2011,6.0,119.0,"Comedy,Drama",P4,0.3555,"$8,500","$347,000","$355,500"
644,Singham,2011,6.8,143.0,"Action,Drama",Relbig.,0.351,"$351,000",$0,"$351,000"
645,The Mill And The Cross,2011,7.0,92.0,"Drama,History",KC,0.3423,"$312,000","$30,300","$342,300"
646,Super,2011,,,,IFC,0.328,"$328,000",$0,"$328,000"
647,L'Amour Fou,2011,,,,IFC,0.312,"$312,000",$0,"$312,000"
648,Being Elmo: A Puppeteer'S Journey,2011,7.6,80.0,Documentary,SD,0.304,"$304,000",$0,"$304,000"
649,In The Land Of Blood And Honey,2011,4.4,127.0,"Drama,Romance,War",FD,0.304,"$304,000",$0,"$304,000"
650,Special Treatment,2011,,,,FRun,0.2949,"$8,900","$286,000","$294,900"
651,Illegal ,2011,,,,FM,0.2897,$700,"$289,000","$289,700"
652,The Interrupters,2011,7.5,125.0,"Crime,Documentary",CGld,0.282,"$282,000",$0,"$282,000"
653,Rascals,2011,2.9,128.0,"Action,Comedy,Crime",Eros,0.274,"$274,000",$0,"$274,000"
654,The Black Power Mix Tape: 1967-1975,2011,,,,IFC,0.274,"$274,000",$0,"$274,000"
655,Black Death,2011,,,,Magn.,0.2656,"$22,600","$243,000","$265,600"
656,Le Quattro Volte,2011,,,,Lorb.,0.256,"$153,000","$103,000","$256,000"
657,Life In A Day,2011,7.7,95.0,"Documentary,Drama",NGE,0.253,"$253,000",$0,"$253,000"
658,Caterpillar,2011,,,,Lorb.,0.2522,"$4,200","$248,000","$252,200"
659,Little Girl ,2011,,,,FRun,0.2374,"$1,400","$236,000","$237,400"
660,El Bulli: Cooking In Progress,2011,,,,AM,0.237,"$237,000",$0,"$237,000"
661,"If I Want To Whistle, I Whistle",2011,,,,FM,0.2321,"$12,100","$220,000","$232,100"
662,Into The Abyss,2011,7.3,107.0,"Crime,Documentary,Drama",IFC,0.224,"$224,000",$0,"$224,000"
663,Happythankyoumoreplease,2011,,,,Anch.,0.216,"$216,000",$0,"$216,000"
664,The Robber,2011,,,,Kino,0.2085,"$83,500","$125,000","$208,500"
665,Henry'S Crime,2011,,,,MPFT,0.205,"$103,000","$102,000","$205,000"
666,A Good Old Fashioned Orgy,2011,6.2,95.0,"Comedy,Romance",Gold.,0.2,"$200,000",$0,"$200,000"
667,Film Socialisme,2011,,,,Lorb.,0.192,"$33,000","$159,000","$192,000"
668,Bol,2011,8.3,165.0,Drama,Eros,0.189,"$189,000",$0,"$189,000"
669,Leap Year ,2011,,,,Strand,0.188,"$13,000","$175,000","$188,000"
670,A Screaming Man,2011,,,,FM,0.1849,"$9,900","$175,000","$184,900"
671,Jig,2011,6.7,99.0,"Documentary,Musical",Scre.,0.184,"$184,000",$0,"$184,000"
672,Nostalgia For The Light,2011,,,,Icar.,0.1777,"$164,000","$13,700","$177,700"
673,Anchor Baby,2011,,,,AGF,0.1768,"$15,800","$161,000","$176,800"
674,Bellflower,2011,6.4,106.0,"Action,Drama,Romance",Osci.,0.168,"$168,000",$0,"$168,000"
675,Restless ,2011,,,,SPC,0.163,"$163,000",$0,"$163,000"
676,Road To Nowhere,2011,,,,Mont.,0.1613,"$40,300","$121,000","$161,300"
677,Magic Trip,2011,,,,Magn.,0.155,"$155,000",$0,"$155,000"
678,Eames: The Architect And The Painter,2011,,,,FRun,0.153,"$153,000",$0,"$153,000"
679,Revenge Of The Electric Car,2011,7.2,90.0,Documentary,A23,0.151,"$151,000",$0,"$151,000"
680,The Human Centipede 2: Full Sequence,2011,,,,IFC,0.142,"$142,000",$0,"$142,000"
681,Cold Weather,2011,,,,IFC,0.141,"$141,000",$0,"$141,000"
682,Game ,2011,,,,Eros,0.14,"$140,000",$0,"$140,000"
683,1911,2011,5.9,121.0,"Action,Adventure,Drama",Vari.,0.136,"$136,000",$0,"$136,000"
684,"Life, Above All",2011,,,,SPC,0.134,"$134,000",$0,"$134,000"
685,Tomboy ,2011,,,,Da.,0.13,"$130,000",$0,"$130,000"
686,Octubre,2011,,,,NYer,0.1288,"$32,100","$96,700","$128,800"
687,The Arbor,2011,,,,Strand,0.1266,"$21,600","$105,000","$126,600"
688,Mysteries Of Lisbon,2011,,,,MBox,0.1259,"$111,000","$14,900","$125,900"
689,Vidal Sassoon: The Movie,2011,,,,P4,0.1246,"$86,000","$38,600","$124,600"
690,Trust ,2011,,,,MNE,0.12,"$120,000",$0,"$120,000"
691,Steve Jobs: The Lost Interview,2011,,,,Magn.,0.106,"$106,000",$0,"$106,000"
692,Rubber,2011,,,,Magn.,0.1,"$100,000",$0,"$100,000"
693,The Man Who Fell To Earth ,2011,,,,Rialto,0.1,"$100,000",$0,"$100,000"
694,Chalo Dilli,2011,6.8,155.0,"Comedy,Drama",Eros,0.0943,"$94,300",$0,"$94,300"
695,The Whale,2011,8.1,85.0,Documentary,Pala.,0.0819,"$81,900",$0,"$81,900"
696,Beautiful Boy,2011,,,,Anch.,0.0772,"$77,200",$0,"$77,200"
697,Puncture,2011,6.9,100.0,"Biography,Drama",MNE,0.0689,"$68,900",$0,"$68,900"
698,A Beautiful Life,2011,6.7,124.0,"Drama,Romance",CL,0.0662,"$66,200",$0,"$66,200"
699,"Tuesday, After Christmas",2011,,,,Lorb.,0.064,"$27,800","$36,200","$64,000"
700,Viva Riva!,2011,,,,MBox,0.0618,"$61,800",$0,"$61,800"
701,Murder 2,2011,6.2,127.0,"Action,Crime,Thriller",Eros,0.0595,"$59,500",$0,"$59,500"
702,Dirty Girl,2011,,,,Wein.,0.0551,"$55,100",$0,"$55,100"
703,Battleship Potemkin ,2011,,,,Kino,0.0512,"$51,200",$0,"$51,200"
704,Love U Mr. Kalakaar,2011,,,,Eros,0.0486,"$48,600",$0,"$48,600"
705,Margaret,2011,6.5,150.0,Drama,FoxS,0.0465,"$46,500",$0,"$46,500"
706,"Happy, Happy",2011,,,,Magn.,0.0452,"$45,200",$0,"$45,200"
707,The Myth Of The American Sleepover,2011,,,,IFC,0.041,"$41,000",$0,"$41,000"
708,Hell And Back Again,2011,6.5,88.0,"Action,Documentary,History",DF,0.0406,"$40,600",$0,"$40,600"
709,Khodorkovsky,2011,7.0,111.0,"Biography,Documentary,Drama",KL,0.0395,"$39,500",$0,"$39,500"
710,Sleeping Beauty ,2011,,,,IFC,0.0366,"$36,600",$0,"$36,600"
711,My Kingdom ,2011,,,,CL,0.0365,"$36,500",$0,"$36,500"
712,Love In Space,2011,5.5,100.0,"Comedy,Romance",CL,0.0348,"$34,800",$0,"$34,800"
713,Stake Land,2011,,,,IFC,0.0332,"$33,200",$0,"$33,200"
714,Brotherhood ,2011,,,,P4,0.0324,"$19,700","$12,700","$32,400"
715,The Son Of No One,2011,5.1,90.0,"Action,Crime,Drama",Anch.,0.0307,"$30,700",$0,"$30,700"
716,Muran,2011,6.5,103.0,"Action,Thriller",UTV,0.0301,"$30,100",$0,"$30,100"
717,The Sleeping Beauty,2011,,,,Strand,0.0291,"$29,100",$0,"$29,100"
718,Tyrannosaur,2011,7.6,92.0,Drama,Strand,0.0223,"$22,300",$0,"$22,300"
719,Ceremony,2011,,,,Magn.,0.0223,"$22,300",$0,"$22,300"
720,I'M Glad My Mother Is Alive,2011,,,,Strand,0.0219,"$8,700","$13,200","$21,900"
721,Always Kabhi Kabhi,2011,4.3,126.0,"Comedy,Crime,Drama",Eros,0.0214,"$21,400",$0,"$21,400"
722,Empire Of Silver,2011,,,,NeoC,0.019,$0,"$19,000","$19,000"
723,5 Days Of War,2011,5.6,113.0,"Action,Drama,War",Anch.,0.0175,"$17,500",$0,"$17,500"
724,Aurora,2011,,,,CGld,0.0108,"$5,700","$5,100","$10,800"
725,Magic To Win,2011,,,,CL,0.0107,"$10,700",$0,"$10,700"
726,Wrecked,2011,,,,IFC,0.008,"$8,000",$0,"$8,000"
727,My Piece Of The Pie,2011,5.8,109.0,"Comedy,Drama",IFC,0.0069,"$6,900",$0,"$6,900"
728,I Melt With You,2011,6.0,122.0,Drama,Magn.,0.0064,"$6,400",$0,"$6,400"
729,My Joy,2011,,,,KL,0.0063,"$6,300",$0,"$6,300"
730,To Die Like A Man,2011,,,,Strand,0.0049,"$4,000",$900,"$4,900"
731,Blood Ties,2011,,,,ALP,0.0028,"$2,800",$0,"$2,800"
732,Knuckle,2011,6.8,97.0,"Biography,Documentary,Drama",Vita.,0.0026,"$2,600",$0,"$2,600"
733,Main Street,2011,,,,Magn.,0.0026,"$2,600",$0,"$2,600"
734,"Love, Wedding, Marriage",2011,5.0,90.0,Comedy,IFC,0.0019,"$1,900",$0,"$1,900"
735,An Invisible Sign,2011,,,,IFC,0.0013,"$1,300",$0,"$1,300"
736,Marvel'S The Avengers,2012,,,,BV,1518.9,"$623,400,000","$895,500,000","$1,518,900,000"
737,Skyfall,2012,7.8,143.0,"Action,Adventure,Thriller",Sony,1108.6,"$304,400,000","$804,200,000","$1,108,600,000"
738,The Dark Knight Rises,2012,8.4,164.0,"Action,Thriller",WB,1084.9,"$448,100,000","$636,800,000","$1,084,900,000"
739,The Hobbit: An Unexpected Journey,2012,7.9,169.0,"Adventure,Family,Fantasy",WB (NL),1021.1,"$303,000,000","$718,100,000","$1,021,100,000"
740,Ice Age: Continental Drift,2012,6.6,88.0,"Adventure,Animation,Comedy",Fox,877.2,"$161,300,000","$715,900,000","$877,200,000"
741,The Twilight Saga: Breaking Dawn Part 2,2012,,,,LG/S,829.7,"$292,300,000","$537,400,000","$829,700,000"
742,The Amazing Spider-Man,2012,7.0,136.0,"Action,Adventure,Sci-Fi",Sony,757.9,"$262,000,000","$495,900,000","$757,900,000"
743,Madagascar 3: Europe'S Most Wanted,2012,6.8,93.0,"Adventure,Animation,Comedy",P/DW,746.9,"$216,400,000","$530,500,000","$746,900,000"
744,The Hunger Games,2012,7.2,142.0,"Action,Adventure,Sci-Fi",LGF,694.4,"$408,000,000","$286,400,000","$694,400,000"
745,Mib 3,2012,,,,Sony,624.0,"$179,000,000","$445,000,000","$624,000,000"
746,Life Of Pi,2012,7.9,127.0,"Adventure,Drama,Fantasy",Fox,609.0,"$125,000,000","$484,000,000","$609,000,000"
747,Ted,2012,6.9,106.0,"Comedy,Fantasy",Uni.,549.4,"$218,800,000","$330,600,000","$549,400,000"
748,Brave,2012,7.1,93.0,"Adventure,Animation,Comedy",BV,540.5,"$237,300,000","$303,200,000","$540,500,000"
749,Wreck-It Ralph,2012,7.7,101.0,"Adventure,Animation,Comedy",BV,471.2,"$189,400,000","$281,800,000","$471,200,000"
750,Les Miserables ,2012,,,,Uni.,441.8,"$148,800,000","$293,000,000","$441,800,000"
751,The Intouchables ,2012,,,,Wein.,426.6,"$10,200,000","$416,400,000","$426,600,000"
752,Django Unchained,2012,8.4,165.0,"Drama,Western",Wein.,425.4,"$162,800,000","$262,600,000","$425,400,000"
753,Prometheus,2012,7.0,124.0,"Adventure,Mystery,Sci-Fi",Fox,403.4,"$126,500,000","$276,900,000","$403,400,000"
754,Snow White And The Huntsman,2012,6.1,127.0,"Action,Adventure,Drama",Uni.,396.6,"$155,300,000","$241,300,000","$396,600,000"
755,Taken 2,2012,6.3,92.0,"Action,Thriller",Fox,376.2,"$139,900,000","$236,300,000","$376,200,000"
756,Hotel Transylvania,2012,7.1,91.0,"Animation,Comedy,Family",Sony,358.4,"$148,300,000","$210,100,000","$358,400,000"
757,Dr. Seuss' The Lorax,2012,,,,Uni.,348.8,"$214,000,000","$134,800,000","$348,800,000"
758,Titanic 3D,2012,,,,Par.,343.6,"$57,900,000","$285,700,000","$343,600,000"
759,Journey 2: The Mysterious Island,2012,5.8,94.0,"Action,Adventure,Comedy",WB (NL),335.3,"$103,900,000","$231,400,000","$335,300,000"
760,The Expendables 2,2012,6.6,103.0,"Action,Adventure,Thriller",LGF,314.9,"$85,000,000","$229,900,000","$314,900,000"
761,Rise Of The Guardians,2012,7.3,97.0,"Action,Adventure,Animation",P/DW,306.9,"$103,400,000","$203,500,000","$306,900,000"
762,Wrath Of The Titans,2012,5.7,99.0,"Action,Adventure,Fantasy",WB,305.3,"$83,700,000","$221,600,000","$305,300,000"
763,Battleship,2012,5.8,131.0,"Action,Adventure,Sci-Fi",Uni.,303.0,"$65,400,000","$237,600,000","$303,000,000"
764,John Carter,2012,6.6,132.0,"Action,Adventure,Sci-Fi",BV,284.2,"$73,100,000","$211,100,000","$284,200,000"
765,The Bourne Legacy,2012,6.7,135.0,"Action,Adventure,Thriller",Uni.,276.1,"$113,200,000","$162,900,000","$276,100,000"
766,Lincoln,2012,7.4,150.0,"Biography,Drama,History",BV,275.3,"$182,200,000","$93,100,000","$275,300,000"
767,Dark Shadows,2012,6.2,113.0,"Comedy,Fantasy,Horror",WB,245.5,"$79,700,000","$165,800,000","$245,500,000"
768,Resident Evil: Retribution,2012,5.4,95.0,"Action,Horror,Sci-Fi",SGem,240.0,"$42,300,000","$197,700,000","$240,000,000"
769,Silver Linings Playbook,2012,7.7,122.0,"Comedy,Drama,Romance",Wein.,236.4,"$132,100,000","$104,300,000","$236,400,000"
770,American Reunion,2012,6.7,113.0,Comedy,Uni.,235.0,"$57,000,000","$178,000,000","$235,000,000"
771,Argo,2012,7.7,120.0,"Biography,Drama,Thriller",WB,232.3,"$136,000,000","$96,300,000","$232,300,000"
772,Jack Reacher,2012,7.0,130.0,"Action,Crime,Thriller",Par.,218.4,"$80,100,000","$138,300,000","$218,400,000"
773,Safe House,2012,6.8,115.0,"Action,Adventure,Crime",Uni.,208.1,"$126,400,000","$81,700,000","$208,100,000"
774,21 Jump Street,2012,7.2,109.0,"Action,Comedy,Crime",Sony,201.5,"$138,400,000","$63,100,000","$201,500,000"
775,Total Recall ,2012,,,,Sony,198.5,"$58,900,000","$139,600,000","$198,500,000"
776,The Vow,2012,6.8,104.0,"Drama,Romance",SGem,196.1,"$125,000,000","$71,100,000","$196,100,000"
777,Mirror Mirror,2012,5.6,106.0,"Adventure,Comedy,Drama",Rela.,183.0,"$64,900,000","$118,100,000","$183,000,000"
778,The Impossible,2012,7.6,114.0,"Drama,History,Thriller",LG/S,180.3,"$19,000,000","$161,300,000","$180,300,000"
779,The Dictator,2012,6.4,83.0,Comedy,Par.,179.4,"$59,700,000","$119,700,000","$179,400,000"
780,Looper,2012,7.4,113.0,"Action,Crime,Drama",TriS,176.5,"$66,500,000","$110,000,000","$176,500,000"
781,Magic Mike,2012,6.1,110.0,"Comedy,Drama",WB,167.2,"$113,700,000","$53,500,000","$167,200,000"
