,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,genres,director
79,2010-05-07,Iron Man 2 2010,170000000,312433331,621156389,308723058,451156389,"Action,Adventure,Sci-Fi",Jon Favreau
80,2014-04-04,Captain America: The Winter Soldier 2014,170000000,259746958,714401889,454654931,544401889,"Action,Adventure,Sci-Fi","Anthony Russo, Joe Russo"
81,2014-07-11,Dawn of the Planet of the Apes 2014,170000000,208545589,710644566,502098977,540644566,"Action,Adventure,Drama",Matt Reeves
82,2012-06-01,Snow White and the Huntsman 2012,170000000,155136755,401021746,245884991,231021746,"Action,Adventure,Drama",Rupert Sanders
83,2019-03-29,Dumbo 2019,170000000,113883318,345004422,231121104,175004422,"Adventure,Family,Fantasy",Tim Burton
84,2015-05-22,Tomorrowland 2015,170000000,93436322,206627518,113191196,36627518,"Action,Adventure,Family",Brad Bird
85,2019-02-14,Alita: Battle Angel 2019,170000000,85710210,402976036,317265826,232976036,"Action,Adventure,Sci-Fi",Robert Rodriguez
86,2019-05-31,Godzilla: King of the Monsters 2019,170000000,85576941,299276941,213700000,129276941,"Action,Adventure,Fantasy",Michael Dougherty
87,2016-05-27,Alice Through the Looking Glass 2016,170000000,77042381,276928112,199885731,106928112,"Adventure,Family,Fantasy",James Bobin
88,2010-05-21,Shrek Forever After 2010,165000000,238736787,756244673,517507886,591244673,"Adventure,Animation,Comedy",Mike Mitchell
89,2016-11-04,Doctor Strange 2016,165000000,232641920,676404566,443762646,511404566,"Action,Adventure,Fantasy",Scott Derrickson
90,2014-11-07,Big Hero 6 2014,165000000,222527828,652127828,429600000,487127828,"Action,Adventure,Animation","Don Hall, Chris Williams"
91,2010-03-26,How to Train Your Dragon 2010,165000000,217581232,494870992,277289760,329870992,"Action,Adventure,Animation","Chris Sanders, Dean DeBlois"
92,2012-11-02,Wreck-It Ralph 2012,165000000,189412677,496511521,307098844,331511521,"Adventure,Animation,Comedy",Rich Moore
93,2014-11-05,Interstellar 2014,165000000,188017894,666379375,478361481,501379375,"Adventure,Drama,Sci-Fi",Christopher Nolan
94,2016-06-24,Independence Day: Resurgence 2016,165000000,103144286,384169424,281025138,219169424,"Action,Adventure,Sci-Fi",Roland Emmerich
95,2017-03-17,Beauty and the Beast 2017,160000000,504014165,1259199706,755185541,1099199706,"Family,Fantasy,Musical",Bill Condon
96,2018-12-21,Aquaman 2018,160000000,335061807,1146894640,811832833,986894640,"Action,Adventure,Fantasy",James Wan
97,2010-07-16,Inception 2010,160000000,292576195,835524642,542948447,675524642,"Action,Adventure,Sci-Fi",Christopher Nolan
98,2015-11-20,The Hunger Games: Mockingjay - Part 2 2015,160000000,281723902,648986787,367262885,488986787,"Action,Adventure,Sci-Fi",Francis Lawrence
99,2014-05-16,Godzilla 2014,160000000,200676069,529076069,328400000,369076069,"Action,Adventure,Sci-Fi",Gareth Edwards
100,2011-06-03,X-Men: First Class 2011,160000000,146408305,355408305,209000000,195408305,"Action,Adventure,Sci-Fi",Matthew Vaughn
101,2010-07-14,The Sorcerer's Apprentice 2010,160000000,63150991,217986320,154835329,57986320,"Action,Adventure,Family",Jon Turteltaub
102,2016-06-10,Warcraft 2016,160000000,47225655,425522281,378296626,265522281,"Action,Adventure,Fantasy",Duncan Jones
103,2016-09-30,Deepwater Horizon 2016,156000000,61433527,122603824,61170297,-33396176,"Action,Drama,History",Peter Berg
104,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader 2010,155000000,104386950,418186950,313800000,263186950,"Adventure,Family,Fantasy",Michael Apted
105,2018-03-23,Pacific Rim: Uprising 2018,155000000,59874525,290930148,231055623,135930148,"Action,Adventure,Sci-Fi",Steven S. DeKnight
106,2017-07-14,War for the Planet of the Apes 2017,152000000,146880162,489592267,342712105,337592267,"Action,Adventure,Drama",Matt Reeves
107,2017-06-02,Wonder Woman 2017,150000000,412563408,821133378,408569970,671133378,"Action,Adventure,Fantasy",Patty Jenkins
108,2013-11-22,Frozen 2013,150000000,400738009,1272469910,871731901,1122469910,"Adventure,Animation,Comedy","Chris Buck, Jennifer Lee"
109,2016-03-04,Zootopia 2016,150000000,341268248,1019429616,678161368,869429616,"Adventure,Animation,Comedy","Byron Howard, Rich Moore, Jared Bush"
110,2016-11-23,Moana 2016,150000000,248757044,637517365,388760321,487517365,"Adventure,Animation,Comedy","Don Hall, Chris Williams, Ron Clements, John Musker"
111,2013-11-08,Thor: The Dark World 2013,150000000,206362140,644602516,438240376,494602516,"Action,Adventure,Fantasy",Alan Taylor
112,2017-07-21,Dunkirk 2017,150000000,190068280,499837368,309769088,349837368,"Action,Drama,History",Christopher Nolan
113,2011-05-06,Thor 2011,150000000,181030624,449326618,268295994,299326618,"Action,Adventure,Fantasy",Kenneth Branagh
114,2011-05-26,Kung Fu Panda 2 2011,150000000,165249063,664837547,499588484,514837547,"Action,Adventure,Animation",Jennifer Yuh Nelson
115,2015-05-15,Mad Max: Fury Road 2015,150000000,153636354,370098020,216461666,220098020,"Action,Adventure,Sci-Fi",George Miller
116,2018-03-29,Ready Player One 2018,150000000,137690172,579290136,441599964,429290136,"Action,Adventure,Sci-Fi",Steven Spielberg
117,2010-07-01,The Last Airbender 2010,150000000,131772187,319713881,187941694,169713881,"Action,Adventure,Family",M. Night Shyamalan
118,2012-03-30,Wrath of the Titans 2012,150000000,83670083,305270083,221600000,155270083,"Action,Adventure,Fantasy",Jonathan Liebesman
119,2012-05-11,Dark Shadows 2012,150000000,79727149,238202668,158475519,88202668,"Comedy,Fantasy,Horror",Tim Burton
120,2013-06-28,White House Down 2013,150000000,73103784,205440387,132336603,55440387,"Action,Drama,Thriller",Roland Emmerich
121,2010-02-12,The Wolfman 2010,150000000,62189884,142634358,80444474,-7365642,"Drama,Fantasy,Horror",Joe Johnston
122,2017-02-17,The Great Wall 2017,150000000,45157105,334486852,289329747,184486852,Documentary,Tadhg O'Sullivan
123,2015-10-09,Pan 2015,150000000,35088320,151525973,116437653,1525973,"Adventure,Comedy,Family",Joe Wright
124,2011-03-11,Mars Needs Moms 2011,150000000,21392758,39549758,18157000,-110450242,"Adventure,Animation,Family",Simon Wells
125,2012-06-08,Madagascar 3: Europe's Most Wanted 2012,145000000,216391482,746921271,530529789,601921271,"Adventure,Animation,Comedy","Tom McGrath, Conrad Vernon, Eric Darnell"
126,2014-06-13,How to Train Your Dragon 2 2014,145000000,177002924,614586270,437583346,469586270,"Action,Adventure,Animation",Dean DeBlois
127,2014-03-07,Mr. Peabody & Sherman 2014,145000000,111506430,269806430,158300000,124806430,"Adventure,Animation,Comedy",Rob Minkoff
128,2012-11-21,Rise of the Guardians 2012,145000000,103412758,306900902,203488144,161900902,"Action,Adventure,Animation",Peter Ramsey
129,2016-07-15,Ghostbusters 2016,144000000,128350574,229008658,100658084,85008658,"Action,Comedy,Fantasy",Paul Feig
130,2011-07-22,Captain America: The First Avenger 2011,140000000,176654505,370569776,193915271,230569776,"Action,Adventure,Sci-Fi",Joe Johnston
131,2016-01-29,Kung Fu Panda 3 2016,140000000,143528619,517599142,374070523,377599142,"Action,Adventure,Animation","Jennifer Yuh Nelson, Alessandro Carloni"
132,2013-03-27,G.I. Joe: Retaliation 2013,140000000,122523060,375740705,253217645,235740705,"Action,Adventure,Sci-Fi",Jon M. Chu
133,2014-12-12,Exodus: Gods and Kings 2014,140000000,65014513,268314513,203300000,128314513,"Action,Adventure,Drama",Ridley Scott
134,2016-07-01,The BFG 2016,140000000,55483770,199646680,144162910,59646680,"Adventure,Family,Fantasy",Steven Spielberg
135,2016-02-26,Gods of Egypt 2016,140000000,31153464,138836756,107683292,-1163244,"Action,Adventure,Fantasy",Alex Proyas
136,2013-03-22,The Croods 2013,135000000,187168425,573068425,385900000,438068425,"Action,Adventure,Animation","Chris Sanders, Kirk DeMicco"
137,2015-12-25,The Revenant 2015,135000000,183637894,532938302,349300408,397938302,"Action,Adventure,Biography",Alejandro G. Iñárritu
138,2011-03-04,Rango 2011,135000000,123477607,245724600,122246993,110724600,"Adventure,Animation,Comedy",Gore Verbinski
139,2013-07-17,Turbo 2013,135000000,83028130,286896578,203868448,151896578,"Adventure,Animation,Comedy",David Soren
140,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows 2016,135000000,82051601,245328374,163276773,110328374,"Action,Adventure,Comedy",Dave Green
141,2011-11-18,Happy Feet Two 2011,135000000,64006466,157956466,93950000,22956466,"Adventure,Animation,Comedy","George Miller, Gary Eck, David Peers"
142,2018-11-02,The Nutcracker and the Four Realms 2018,132900000,54858851,170293899,115435048,37393899,"Adventure,Family,Fantasy","Joe Johnston, Lasse Hallström"
143,2014-11-26,Penguins of Madagascar 2014,132000000,83350911,366942531,283591620,234942531,"Adventure,Animation,Comedy","Eric Darnell, Simon J. Smith"
144,2013-11-22,The Hunger Games: Catching Fire 2013,130000000,424668047,864868047,440200000,734868047,"Action,Adventure,Sci-Fi",Francis Lawrence
145,2018-07-06,Ant-Man and the Wasp 2018,130000000,216648740,623144660,406495920,493144660,"Action,Adventure,Comedy",Peyton Reed
146,2015-07-17,Ant-Man 2015,130000000,180202163,518858449,338656286,388858449,"Action,Adventure,Comedy",Peyton Reed
147,2015-03-27,Home 2015,130000000,177397510,385997896,208600386,255997896,"Adventure,Animation,Comedy",Tim Johnson
151,2018-12-19,Mary Poppins Returns 2018,130000000,171958438,341528518,169570080,211528518,"Comedy,Family,Fantasy",Rob Marshall
152,2011-10-28,Puss in Boots 2011,130000000,149260504,554987477,405726973,424987477,"Action,Adventure,Animation",Chris Miller
153,2010-11-05,Megamind 2010,130000000,148415853,321887208,173471355,191887208,"Action,Animation,Comedy",Tom McGrath
154,2014-04-11,Rio 2 2014,130000000,131538435,492846291,361307856,362846291,"Adventure,Animation,Comedy",Carlos Saldanha
155,2010-07-23,Salt 2010,130000000,118311368,290650494,172339126,160650494,"Action,Mystery,Thriller",Phillip Noyce
156,2014-03-28,Noah 2014,130000000,101200044,352831065,251631021,222831065,"Action,Adventure,Drama",Darren Aronofsky
157,2011-12-21,The Adventures of Tintin 2011,130000000,77591831,373993951,296402120,243993951,"Action,Adventure,Animation",Steven Spielberg
158,2013-05-31,After Earth 2013,130000000,60522097,251499665,190977568,121499665,"Action,Adventure,Drama",M. Night Shyamalan
159,2013-07-19,R.I.P.D. 2013,130000000,33618855,79076678,45457823,-50923322,"Action,Adventure,Comedy",Robert Schwentke
160,2019-02-22,How to Train Your Dragon: The Hidden World 2019,129000000,160791800,519258283,358466483,390258283,"Action,Adventure,Animation",Dean DeBlois
161,2017-03-03,Logan 2017,127000000,226277068,615461394,389184326,488461394,"Action,Drama,Sci-Fi",James Mangold
162,2014-12-19,Night at the Museum: Secret of the Tomb 2014,127000000,113746621,353756621,240010000,226756621,"Adventure,Comedy,Family",Shawn Levy
163,2014-11-21,The Hunger Games: Mockingjay - Part 1 2014,125000000,337135885,766575131,429439246,641575131,"Action,Adventure,Sci-Fi",Francis Lawrence
164,2011-04-29,Fast Five 2011,125000000,210031325,630163454,420132129,505163454,"Action,Crime,Thriller",Justin Lin
165,2014-08-08,Teenage Mutant Ninja Turtles 2014,125000000,191204754,485004754,293800000,360004754,"Action,Adventure,Comedy",Jonathan Liebesman
166,2011-12-16,Sherlock Holmes: A Game of Shadows 2011,125000000,186848418,535663443,348815025,410663443,"Action,Adventure,Crime",Guy Ritchie
167,2017-03-31,The Boss Baby 2017,125000000,175003033,510878762,335875729,385878762,"Adventure,Animation,Comedy",Tom McGrath
168,2010-04-01,Clash of the Titans 2010,125000000,163214888,493214888,330000000,368214888,"Action,Adventure,Fantasy",Louis Leterrier
169,2016-11-04,Trolls 2016,125000000,153707064,344150134,190443070,219150134,"Adventure,Animation,Comedy","Mike Mitchell, Walt Dohrn"
170,2012-06-08,Prometheus 2012,125000000,126477084,402448265,275971181,277448265,"Adventure,Mystery,Sci-Fi",Ridley Scott
171,2012-08-10,The Bourne Legacy 2012,125000000,113203870,280355920,167152050,155355920,"Action,Adventure,Thriller",Tony Gilroy
172,2018-07-13,Skyscraper 2018,125000000,68420120,304115534,235695414,179115534,"Action,Adventure,Thriller",Rawson Marshall Thurber
173,2012-08-03,Total Recall 2012,125000000,58877969,211856088,152978119,86856088,"Action,Adventure,Mystery",Len Wiseman
174,2016-07-29,Jason Bourne 2016,120000000,162192920,416168316,253975396,296168316,"Action,Thriller",Paul Greengrass
175,2012-11-21,Life of Pi 2012,120000000,124987022,620912003,495924981,500912003,"Adventure,Drama,Fantasy",Ang Lee
176,2018-04-13,Rampage 2018,120000000,101028233,428056280,327028047,308056280,"Action,Adventure,Sci-Fi",Brad Peyton
